plant_number,plant_name,compound_name,molecular_weight,logP,h_bond_donors,h_bond_acceptors,tpsa,rotatable_bonds,rule_of_5_violations,drug_like_lipinski,smiles,inchikey,doi
5,Asparagus racemosus,"(5E)-5-[(1R,4R,5S,6R,8R,9R,13S)-9-[(E)-but-1-enyl]-4-methyl-2,14-dioxa-10-azapentacyclo[6.5.1.01,5.06,10.09,13]tetradecan-3-ylidene]-4-methoxy-3-methylfuran-2-one",385.46,2.87,0,6,57.23,3,0,True,CC/C=C/[C@]12[C@@H]3CCN1[C@@H]4C[C@H]2O[C@@]35[C@H]4[C@H](/C(=C\6/C(=C(C(=O)O6)C)OC)/O5)C,XNUWGEPKIOWLHQ-HUOIRUNFSA-N,10.1248/CPB.42.1360
5,Asparagus racemosus,"5,6-dihydroxy-3-(4-hydroxyphenyl)-8-methoxy-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",478.41,-0.24,7,12,199.51,5,2,False,COC1=C2C(=C(C(=C1O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O)C(=O)C(=CO2)C4=CC=C(C=C4)O,VWMPPGJQMLFNRK-PQMDEDJFSA-N,10.1016/S0367-326X(00)00315-4
5,Asparagus racemosus,Stemanthrene D,286.33,3.19,2,4,58.92,2,0,True,CC1=C2CCC3=C(C2=C(C=C1O)OC)C=CC(=C3OC)O,MVMDETPHBOLVQA-UHFFFAOYSA-N,10.1016/S0031-9422(96)00579-1
5,Asparagus racemosus,rutin,610.52,-1.69,10,16,269.43,6,3,False,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,IKGXIBQEEMLURG-NVPNHPEKSA-N,10.3109/13880208209083302
5,Asparagus racemosus,sarsagenin,416.65,5.79,1,3,38.69,0,1,True,C[C@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC[C@H]6[C@@]5(CC[C@@H](C6)O)C)C)C)OC1,GMBQZIIUCVWOCD-WWASVFFGSA-N,10.1016/S0031-9422(82)85045-0
10,Scaevola taccada,"(2S)-2-isopropenyl-2,3-dihydro-7H-furo[3,2-g]chromen-7-one",228.25,2.67,0,3,39.44,1,0,True,CC(=C)[C@@H]1CC2=C(O1)C=C3C(=C2)C=CC(=O)O3,VMWUHWZFDITAOL-NSHDSACASA-N,10.1002/CBER.19751080207
10,Scaevola taccada,"(3R,4R,4aS,6aS,6bR,8aR,12aR,12bS,14aS,14bS)-4,4a,6b,8a,11,11,12b,14a-octamethyl-hexadecahydropicen-3-ol",428.75,8.25,1,1,20.23,0,1,True,C[C@H]1[C@@H](CC[C@@H]2[C@@]1(CC[C@H]3[C@]2(CC[C@@]4([C@@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C)C)C)C)C)O,XCDQFROEGGNAER-VYFOYESCSA-N,10.1248/YAKUSHI1947.94.12_1616
10,Scaevola taccada,"(3R,4aR,6aR,6aS,8aR,12aR,14aR,14bR)-8a-(hydroxymethyl)-4,4,6a,6a,11,11,14b-heptamethyl-1,2,3,4a,5,6,8,9,10,12,12a,13,14,14a-tetradecahydropicen-3-ol",442.73,7.14,2,2,40.46,1,1,True,C[C@]12CC[C@H](C([C@@H]1CC[C@@]3([C@@H]2CC[C@@]4(C3=CC[C@]5([C@@H]4CC(CC5)(C)C)CO)C)C)(C)C)O,RJAKLUPHSBOQNU-ULCSOPFVSA-N,10.1248/YAKUSHI1947.94.12_1616
10,Scaevola taccada,"(3R,4aR,6aR,6aS,8aS,12aS,14aR,14bR)-4,4,6a,6a,8a,11,11,14b-octamethyl-1,2,3,4a,5,6,8,9,10,12,12a,13,14,14a-tetradecahydropicen-3-ol",426.73,8.17,1,1,20.23,0,1,True,C[C@@]12CCC(C[C@@H]1[C@@]3(CC[C@@H]4[C@]5(CC[C@H](C([C@@H]5CC[C@]4(C3=CC2)C)(C)C)O)C)C)(C)C,GGGUGZHBAOMSFJ-AQKJCJOJSA-N,10.1248/YAKUSHI1947.94.12_1616
10,Scaevola taccada,13(18)-Oleanen-3-one,424.71,8.52,0,1,17.07,0,1,True,C[C@@]12CC[C@@]3(C(=C1CC(CC2)(C)C)CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CCC(=O)C5(C)C)C)C)C,KPUDOJPVQQJLGI-CKARLABJSA-N,10.1248/YAKUSHI1947.94.12_1616
10,Scaevola taccada,CID 13915602,468.77,8.88,0,2,26.3,1,1,True,CC(=O)O[C@H]1CC[C@@]2([C@H]3CCC4=C5CC(CC[C@@]5(CC[C@]4([C@@]3(CC[C@H]2C1(C)C)C)C)C)(C)C)C,HPCVECTWKNBXCO-LNFVHJCCSA-N,10.1002/CBER.19751080207
14,Grevillea striata,"5-[14-(3,5-Dihydroxy-4-methylphenyl)tetradecyl]-2-methylbenzene-1,3-diol",442.64,7.59,4,4,80.92,15,1,True,CC1=C(C=C(C=C1O)CCCCCCCCCCCCCCC2=CC(=C(C(=C2)O)C)O)O,RMQFDTRLWGYIOI-UHFFFAOYSA-N,10.1071/CH9682989
17,Eremophila longifolia,MCh-1,300.4,4.64,1,3,46.53,7,0,True,CC(=CCC/C(=C\COC(=O)/C=C/C1=CC=C(C=C1)O)/C)C,YFASDGOQOINOOM-SVJYBPAOSA-N,10.1021/ACS.JNATPROD.6B00888
17,Eremophila longifolia,"gossypetin 7,8,3’-trimethyl ether",150.18,1.9,0,2,30.21,2,0,True,,KPCOJVYQJXFRDD-SSDOTTSWSA-N,10.1016/J.PHYTOCHEM.2014.05.005
17,Eremophila longifolia,vitrenal,330.42,4.65,1,4,55.76,8,0,True,CC(=CCC/C(=C\COC(=O)/C=C/C1=CC(=C(C=C1)O)OC)/C)C,KSRDJVKWHDQVBQ-VKSNPQIYSA-N,10.1021/ACS.JNATPROD.6B00888
18,Carallia brachiata,(+)-catechin,290.27,1.55,5,6,110.38,1,0,True,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,PFTAWBLQPZVEMU-DZGCQCFKSA-N,10.1016/J.FITOTE.2004.09.019
18,Carallia brachiata,(-)-hygrine,141.21,1.06,0,2,20.31,2,0,True,CC(=O)C[C@@H]1CCCN1C,ADKXZIOQKHHDNQ-QMMMGPOBSA-N,10.1071/CH9650589
18,Carallia brachiata,"(2R,3S,4S,5R,6R)-2-[[(2R,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxymethyl]-6-[[(1R,3S,6S)-6-[(E,3S)-3-hydroxybut-1-enyl]-1,5,5-trimethyl-7-oxabicyclo[4.1.0]heptan-3-yl]oxy]oxane-3,4,5-triol",520.57,-2.08,7,12,191.06,8,3,False,C[C@@H](/C=C/[C@]12[C@](O1)(C[C@H](CC2(C)C)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO[C@H]4[C@@H]([C@](CO4)(CO)O)O)O)O)O)C)O,DWHAWKVKIJBMBD-UGWQYVFXSA-N,10.1016/J.FITOTE.2004.09.019
18,Carallia brachiata,"(2S,3R,4R,5R,6S)-2-{[(2R,3S)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3,4-dihydro-2H-1-benzopyran-3-yl]oxy}-6-methyloxane-3,4,5-triol",436.41,0.4,7,10,169.3,3,1,True,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2CC3=C(C=C(C=C3O[C@@H]2C4=CC(=C(C=C4)O)O)O)O)O)O)O,KYLFHITXPCWYAL-HLBABLIESA-N,10.1016/J.FITOTE.2004.09.019
18,Carallia brachiata,"(6S,9R)-vomifoliol",224.3,1.6,2,3,57.53,2,0,True,CC1=CC(=O)CC([C@]1(/C=C/[C@@H](C)O)O)(C)C,KPQMCAKZRXOZLB-KOIHBYQTSA-N,10.1016/J.FITOTE.2004.09.019
18,Carallia brachiata,(E)-chlorogenic acid,354.31,-0.65,6,8,164.75,4,1,True,C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,CWVRJTMFETXNAD-JUHZACGLSA-N,10.1016/J.FITOTE.2004.09.019
18,Carallia brachiata,"(Z)-3-[4-[(2R,3S,4R,5R,6R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyphenyl]prop-2-enoic acid",326.3,-1.04,5,7,136.68,5,0,True,C1=CC(=CC=C1/C=C\C(=O)O)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO,IHMJMBPCCMPFDW-XMFQKSOQSA-N,10.1016/J.FITOTE.2004.09.019
18,Carallia brachiata,"3,4,5-trimethoxyphenyl-1-O-β-D-apiofuranosyl-(1→6)-O-β-D-glucopyranoside",478.45,-2.64,6,13,185.99,9,2,False,COC1=CC(=CC(=C1OC)OC)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO[C@H]3[C@@H]([C@](CO3)(CO)O)O)O)O)O,CKGKQISENBKOCA-FHXQZXMCSA-N,10.1016/J.FITOTE.2004.09.019
18,Carallia brachiata,"5-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2R,3S,4S,5S,6R)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-7-hydroxychromen-4-one",594.52,-1.39,9,15,249.2,6,3,False,C[C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=CC4=C3C(=O)C=C(O4)C5=CC(=C(C=C5)O)O)O)CO)O)O)O)O)O,BPDCNECYBTUJGT-JNJMNIGZSA-N,10.1016/J.FITOTE.2004.09.019
18,Carallia brachiata,"5-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2R,3S,4S,5S,6R)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-7-hydroxy-2-(4-hydroxyphenyl)chromen-4-one",578.52,-1.1,8,14,228.97,6,3,False,C[C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=CC4=C3C(=O)C=C(O4)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O,LYKXPTCUGPKDQL-FLPYCHHVSA-N,10.1016/J.FITOTE.2004.09.019
18,Carallia brachiata,Apigenin 5-O-beta-D-glucopyranoside,432.38,0.05,6,10,170.05,4,1,True,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C=C3O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,ZFPMFULXUJZHFG-QNDFHXLGSA-N,10.1016/J.FITOTE.2004.09.019
18,Carallia brachiata,apigenin,270.24,2.58,3,5,90.9,1,0,True,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,KZNIFHPLKGYRTM-UHFFFAOYSA-N,10.1016/J.FITOTE.2004.09.019
18,Carallia brachiata,eleutheroside B,372.37,-1.11,5,9,138.07,7,0,True,COC1=CC(=CC(=C1O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)OC)/C=C/CO,QJVXKWHHAMZTBY-GCPOEHJPSA-N,10.1016/J.FITOTE.2004.09.019
18,Carallia brachiata,isoorientin,448.38,-0.2,8,11,201.28,3,2,False,C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O,ODBRNZZJSYPIDI-VJXVFPJBSA-N,10.1016/J.FITOTE.2004.09.019
18,Carallia brachiata,luteolin,286.24,2.28,4,6,111.13,1,0,True,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,IQPNAANSBPBGFQ-UHFFFAOYSA-N,10.1016/J.FITOTE.2004.09.019
19,Tabernaemontana orientalis or Ervatamia orientalis,Q104252760,704.91,6.49,2,7,99.89,5,2,False,CC[C@H]1C[C@@H]2C[C@@]3([C@H]1N(C2)CCC4=C3NC5=CC(=C(C=C45)OC)C6CC\7[C@@H]([C@@H](CC8=C6NC9=CC=CC=C89)N(C/C7=C/C)C)C(=O)OC)C(=O)OC,VCMIRXRRQJNZJT-QPFXSNFMSA-N,10.1007/BF00937795
19,Tabernaemontana orientalis or Ervatamia orientalis,"(1R,15S)-17-ethyl-7-methoxy-3,13-diazapentacyclo[13.3.1.02,10.04,9.013,18]nonadeca-2(10),4(9),5,7-tetraene",310.44,3.94,1,2,28.26,2,0,True,CCC1C[C@H]2C[C@@H]3C1N(C2)CCC4=C3NC5=C4C=C(C=C5)OC,HSIBGVUMFOSJPD-WBPAKMTCSA-N,10.1007/BF00937795
19,Tabernaemontana orientalis or Ervatamia orientalis,20-epi-Ervatamine,354.45,3.04,1,4,62.4,2,0,True,CC[C@H]1CN(C[C@@]2([C@H]1CC(=O)C3=C(C2)C4=CC=CC=C4N3)C(=O)OC)C,METLQVFFFUYXNT-PCMMCCAGSA-N,10.1016/0378-8741(84)90046-1
19,Tabernaemontana orientalis or Ervatamia orientalis,CID 257530,264.37,3.96,1,1,19.03,0,0,True,CC=C1CN2CCC1C(=C)C3=C(C2)C4=CC=CC=C4N3,LCVACABZTLIWCE-UHFFFAOYSA-N,10.1055/S-2007-969101
19,Tabernaemontana orientalis or Ervatamia orientalis,CID 500052,398.5,3.27,1,5,63.79,4,0,True,CCC1CC2CC3(C1N(C2)CCC4=C3NC5=CC(=C(C=C45)OC)OC)C(=O)OC,DUFLXLVGASPEMV-UHFFFAOYSA-N,10.1021/JO01272A082
19,Tabernaemontana orientalis or Ervatamia orientalis,Iboxygaine,326.44,2.91,2,3,48.49,2,0,True,C[C@@H]([C@@H]1C[C@@H]2C[C@@H]3[C@H]1N(C2)CCC4=C3NC5=C4C=C(C=C5)OC)O,QLSITYRYHBQHBY-BFRPBLBHSA-N,10.1016/0378-8741(84)90046-1
19,Tabernaemontana orientalis or Ervatamia orientalis,Isovoacangine,368.48,3.26,1,4,54.56,3,0,True,CC[C@@H]1CC2CC3(C1N(C2)CCC4=C3NC5=C4C=CC(=C5)OC)C(=O)OC,FPUHKQMDWMVBRI-UHFFFAOYSA-N,10.1016/0378-8741(84)90046-1
19,Tabernaemontana orientalis or Ervatamia orientalis,"Methyl 8-ethyl-8-hydroxy-4,13-diazahexacyclo[10.7.0.01,5.04,9.06,10.014,19]nonadeca-11,14,16,18-tetraene-11-carboxylate",352.43,2.02,2,5,61.8,2,0,True,CCC1(CC2C3C1N4C2C5(CC4)C6=CC=CC=C6NC5=C3C(=O)OC)O,SLUFFIKFMLYKDM-UHFFFAOYSA-N,10.1016/0305-1978(93)90097-B
19,Tabernaemontana orientalis or Ervatamia orientalis,Voacristine,384.48,2.23,2,5,74.79,3,0,True,C[C@@H]([C@H]1C[C@@H]2C[C@@]3([C@H]1N(C2)CCC4=C3NC5=C4C=C(C=C5)OC)C(=O)OC)O,OYMQKBZMKFJPMH-VJMPXSKLSA-N,10.1016/0378-8741(84)90046-1
19,Tabernaemontana orientalis or Ervatamia orientalis,coronaridine,338.45,3.26,1,3,45.33,2,0,True,CC[C@H]1C[C@@H]2C[C@@]3([C@H]1N(C2)CCC4=C3NC5=CC=CC=C45)C(=O)OC,NVVDQMVGALBDGE-PZXGUROGSA-N,10.1016/0378-8741(84)90046-1
22,Dianella longifolia,chrysophanol,254.24,2.18,2,4,74.6,0,0,True,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3O,LQGUBLBATBMXHT-UHFFFAOYSA-N,10.1016/S0166-3542(01)00125-5
27,Melaleuca viridiflora,(E)-methyl cinnamate,162.19,1.87,0,2,26.3,2,0,True,COC(=O)/C=C/C1=CC=CC=C1,CCRCUPLGCSFEDV-BQYQJAHWSA-N,10.1071/CH9682585
29,Melaleuca leucadendra,Q104390731,1066.75,-0.83,19,30,525.1,1,3,False,C1C(C(C(C(O1)(C2C3C4C5C(COC(=O)C6=CC(=C(C(=C6C7=C(C(=C(C=C7C(=O)O5)O)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8C9=C(C(=C(C(=C9O)O)O)C1=C(C2=C(C(=C1O)O)O)C(=O)O3)C(=O)O4)O)O)O)O)O)O)O,ZVFDKYBWZMATCT-UHFFFAOYSA-N,10.1016/0031-9422(96)00110-0
29,Melaleuca leucadendra,Q104950463,1444.99,1.37,21,41,672.15,4,3,False,C1[C@@H]2[C@@H]3[C@@H]([C@H]([C@@H](O2)O)OC(=O)C4=CC(=C(C(=C4OC5=C(C(=C6C(=C5)C(=O)OC[C@@H]7[C@H]([C@@H]([C@H]([C@H](O7)O)OC(=O)C8=CC(=C(C(=C8OC9=C(C(=C(C(=C9)C(=O)O3)C2=C(C(=C(C=C2C(=O)O1)O)O)O)O)O)O)O)O)OC(=O)C1=CC(=C(C(=C1)O)O)O)OC(=O)C1=CC(=C(C(=C16)O)O)O)O)O)O)O)O)OC=O,BZHGJOKQDLMGGS-QPJNIBDUSA-N,10.1016/0031-9422(96)00110-0
